uid,from_uid,benchmark,chunk_size,collectivity,file_name_1,file_name_2,file_name_3,file_name_4,file_size,io_bandwidth,io_operation,lustre_stripe_count,lustre_stripe_size,max_nodes,mpi_backend,mpi_number_of_nodes,mpi_processes_per_node
0,,mpi-io,268435456,NON_COLLECTIVE,tmp_benchmark/tmp_benchmark_file_1.segy,tmp_benchmark/tmp_benchmark_file_2.segy,tmp_benchmark/tmp_benchmark_file_3.segy,tmp_benchmark/tmp_benchmark_file_4.segy,1073741824,7968.328475,READ,2,1,16,slurm,2,1
1,,mpi-io,268435456,COLLECTIVE,tmp_benchmark/tmp_benchmark_file_1.segy,tmp_benchmark/tmp_benchmark_file_2.segy,tmp_benchmark/tmp_benchmark_file_3.segy,tmp_benchmark/tmp_benchmark_file_4.segy,1073741824,7996.166954,READ,2,1,16,slurm,2,1
2,,mpi-io,536870912,NON_COLLECTIVE,tmp_benchmark/tmp_benchmark_file_1.segy,tmp_benchmark/tmp_benchmark_file_2.segy,tmp_benchmark/tmp_benchmark_file_3.segy,tmp_benchmark/tmp_benchmark_file_4.segy,1073741824,7861.08661,READ,2,1,16,slurm,2,1
3,,mpi-io,536870912,COLLECTIVE,tmp_benchmark/tmp_benchmark_file_1.segy,tmp_benchmark/tmp_benchmark_file_2.segy,tmp_benchmark/tmp_benchmark_file_3.segy,tmp_benchmark/tmp_benchmark_file_4.segy,1073741824,7605.974515,READ,2,1,16,slurm,2,1
4,,mpi-io,1073741824,NON_COLLECTIVE,tmp_benchmark/tmp_benchmark_file_1.segy,tmp_benchmark/tmp_benchmark_file_2.segy,tmp_benchmark/tmp_benchmark_file_3.segy,tmp_benchmark/tmp_benchmark_file_4.segy,1073741824,7054.12429,READ,2,1,16,slurm,2,1
5,,mpi-io,1073741824,COLLECTIVE,tmp_benchmark/tmp_benchmark_file_1.segy,tmp_benchmark/tmp_benchmark_file_2.segy,tmp_benchmark/tmp_benchmark_file_3.segy,tmp_benchmark/tmp_benchmark_file_4.segy,1073741824,8360.943717,READ,2,1,16,slurm,2,1
6,,mpi-io,2147483648,NON_COLLECTIVE,tmp_benchmark/tmp_benchmark_file_1.segy,tmp_benchmark/tmp_benchmark_file_2.segy,tmp_benchmark/tmp_benchmark_file_3.segy,tmp_benchmark/tmp_benchmark_file_4.segy,1073741824,8330.887786,READ,2,1,16,slurm,2,1
7,,mpi-io,2147483648,COLLECTIVE,tmp_benchmark/tmp_benchmark_file_1.segy,tmp_benchmark/tmp_benchmark_file_2.segy,tmp_benchmark/tmp_benchmark_file_3.segy,tmp_benchmark/tmp_benchmark_file_4.segy,1073741824,7531.629219,READ,2,1,16,slurm,2,1
8,,mpi-io,268435456,NON_COLLECTIVE,tmp_benchmark/tmp_benchmark_file_1.segy,tmp_benchmark/tmp_benchmark_file_2.segy,tmp_benchmark/tmp_benchmark_file_3.segy,tmp_benchmark/tmp_benchmark_file_4.segy,2147483648,2688.919,READ,2,1,16,slurm,2,1
9,,mpi-io,268435456,COLLECTIVE,tmp_benchmark/tmp_benchmark_file_1.segy,tmp_benchmark/tmp_benchmark_file_2.segy,tmp_benchmark/tmp_benchmark_file_3.segy,tmp_benchmark/tmp_benchmark_file_4.segy,2147483648,913.342887,READ,2,1,16,slurm,2,1
